"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"BC048507",3.73606240921164,1.79478500048731,0.907469014794712,0.00110532524681326,0.00364481751978045
"Trip13",20.2492602935519,1.57654421302552,0.428354524163189,1.48126616665199e-05,7.46411218275321e-05
"Hapln1",15.5588324007754,2.74170118641301,0.578716923831175,4.96810046774136e-08,3.91154100823259e-07
"Vcan",13.2289332526905,2.84885974241038,0.653866689800271,2.75342452444231e-07,1.93231208865111e-06
"Cmya5",32.2885496868519,4.50362133961058,1.07885177351347,1.55484928338541e-07,1.13384876169456e-06
"F2rl1",39.3815061299781,1.69146669898974,0.250858706383107,1.90559754831856e-12,2.98896198277026e-11
"Hexb",328.880370839997,1.66992102734857,0.15809346823335,6.31894022604533e-27,5.49413624942451e-25
"Enc1",388.269761732448,1.63174875555725,0.189731879150502,1.20454103982105e-18,4.2797887436471e-17
"Gm5086",6.52767927882528,1.65661009431844,0.652839830770689,0.000372222724811411,0.0013800016355503
"Cenph",12.0030877250372,2.92963536372628,0.508699567279405,1.97252221429128e-10,2.30893619711701e-09
"Ccnb1",67.108079403306,3.04599284018449,0.526318566446898,1.68142710718421e-10,1.98879066274863e-09
"Cd180",57.3564804543243,1.83370751783877,0.261280564704883,2.00102572833757e-13,3.55486741620677e-12
"Cenpk",28.4867296962502,1.58569168564714,0.276826186598122,1.32679605706631e-09,1.35872631325278e-08
"Rnf180",9.96656744459348,1.61760798227443,0.606567124667297,0.000281920997277824,0.00108002727633648
"Elovl7",84.5971476617667,4.18789394504043,0.351498780073043,2.76368141598333e-34,3.99849427264468e-32
"Depdc1b",6.84443659434874,3.85492597897793,0.979295847399305,7.81996279275047e-07,5.05446844556441e-06
"Gpx8",40.3427309676918,1.74193917589788,0.279220587453888,4.67551466391585e-11,6.0097144773929e-10
"Esm1",23.4688241952105,3.12094083922508,0.432395744678287,1.42891486826669e-14,3.03665398267957e-13
"Itga2",7.32511095484343,2.58604880246237,1.05245010587383,0.000161116463051378,0.000655373646937508
"Emb",32.9195009056243,1.68190923679533,0.309618326745512,5.94283145409641e-09,5.4846978549203e-08
"D13Ertd608e",3.3959697620886,3.72006369789527,0.991802151676436,1.67785627481745e-06,1.01962468851054e-05
"BC147527",8.98958252395385,1.69295038097754,0.612574152304327,0.000202277120127077,0.000802822082531005
"Plau",72.1198519731104,2.79833805602198,0.312073808668523,7.47008413117022e-21,3.41152705838923e-19
"Dusp13",4.60869205447022,2.17818035971333,0.937882664966287,0.000336407377764843,0.00126316456376699
"Kcnma1",49.6184146215156,1.51773019230028,0.42558698319327,2.27278633492727e-05,0.000110314924495866
"Dnah1",7.51891326038009,2.39430407929573,0.622495950208711,3.10914581297318e-06,1.7912998415935e-05
"Tmem273",26.7124677196878,1.85627370515191,0.395459747393594,1.80332829214162e-07,1.30504970641781e-06
"Arhgap22",11.760498445015,2.66337618501828,0.572274869268883,7.73908796416611e-08,5.91552856432561e-07
"Fam25c",668.461763198442,1.82097325564009,0.310175530257059,3.74940679692684e-10,4.20384512848245e-09
"Ldb3",17.7645636145956,1.69619269642778,1.19781527238234,0.00342938075275223,0.00993120110704948
"Sftpd",121.762019932656,1.5389085885317,0.292575468153571,1.78363245487504e-08,1.51370215609644e-07
"Ear1",10.4503152071131,2.28719074416813,0.539108585982418,7.02922572807572e-07,4.57278947094422e-06
"Ear4",1.37886851089738,1.8047527675362,1.31964664339388,0.00302282841164309,0.00889921078049248
"Ear10",9.37371416916052,2.10579658572764,0.451272417796443,1.34084020337203e-07,9.90952358271336e-07
"Ear2",44.2093745604706,2.2802427708449,0.2959789915691,4.3096181327555e-16,1.10552402738841e-14
"Cdkn3",24.8811994368593,3.66313084892674,0.520132742239662,5.43490152447043e-14,1.04564036244732e-12
"Wdhd1",61.7707881543659,1.63125397308435,0.272327932030289,2.67247770402219e-10,3.0647913301992e-09
