"","logFC","logCPM","LR","PValue","FDR"
"Gm13278",3.34701661242133,-2.36046581260386,35.0246527866586,3.25557329870863e-09,2.18618677356428e-08
"F730043M19Rik",3.34561273690694,-3.13581239981598,13.1558039126621,0.000286630034194665,0.00100997944347002
"Gm4544",3.34372211204902,-3.08632304874739,6.24422514620328,0.0124598878870932,0.0318950935156299
"Tbr1",3.34247436637887,-3.82416825295575,8.07450329034659,0.00448924110638846,0.0126653653666945
"Cacna1g",3.34239619217103,-1.10127326643279,65.3088996692505,6.40315228117459e-16,8.66267468918113e-15
"Fblim1",3.34203124263327,2.47943006525941,177.361177117673,1.82644022933146e-40,1.96035391751523e-38
"Ccdc103",3.34167565395799,-2.25853342750195,18.3258759067581,1.86161358296905e-05,7.89933703258865e-05
"Uncx",3.34107703664974,-3.6915582588712,6.7423347044259,0.00941513291983112,0.0248156962744316
"Gstt4",3.34078570007271,-3.69288080316301,7.87978282445524,0.00499904831510272,0.0139628963143032
"Meg3",3.3404120535227,2.45897156518748,74.4195304837192,6.31610415001434e-18,1.03208253978788e-16
"Lrrc9",3.33921249327418,-2.70177434209354,25.2046894791496,5.1556682811859e-07,2.68441367611586e-06
"Gprin1",3.33855967564561,-3.73033771384838,6.74655676369233,0.00939287812546289,0.0247680101837108
"Rab3b",3.33818217462226,0.378305606081773,122.472374249647,1.8193087101139e-28,7.43444840513683e-27
"Grm2",3.33767042794656,-3.8105900573845,8.10324287076432,0.00441861344298938,0.0124913960579023
"Kcne3",3.33763602255691,1.89518917691392,168.270692161049,1.76553212197928e-38,1.56938210993946e-36
"Mmel1",3.33573345388588,-3.69481105497367,8.31376114553672,0.00393458309536994,0.011222390663572
"Ccl20",3.33538093089255,-3.02366628110566,7.91108074676553,0.00491329080364929,0.0137426571386241
"Msh4",3.3342205394253,-3.73220295874624,8.37848943676581,0.00379687864045057,0.0108643650212981
"Snord49b",3.33378020367971,-3.51754799266711,8.24302149822937,0.00409089758715509,0.011638720621089
"Ucn2",3.33323483432329,-3.75732661141819,7.80301139892906,0.00521592355013068,0.0145091186655802
"Gm13288",3.33178425362418,-2.36623131259286,34.1236441570441,5.17190055007022e-09,3.40237923521532e-08
