"","logFC","logCPM","LR","PValue","FDR"
"Cyp27a1",-1.50740385966482,8.33762287245215,188.574458581989,6.5088153977099e-43,1.0655919486871e-40
"Glt1d1",-1.50877017629789,3.25140620708821,39.3581513076579,3.52777113365269e-10,3.40495731023113e-09
"Paxx",-1.5091148403824,3.80271815640828,48.6819715741039,3.01020855295121e-12,3.759781006238e-11
"Xlr4c",-1.5191147079766,0.0839846888318658,9.86104487279536,0.00168815201469319,0.00583165440225277
"Zfand4",-1.52162819902854,3.71354455929321,82.2520089342115,1.19795793134774e-19,3.25158214167597e-18
"Acpp",-1.52288125025469,1.94709315548425,23.3323504531277,1.36288345891459e-06,8.08200514253639e-06
"Ido2",-1.52426580515064,5.66917992563292,60.2723621778955,8.25990795693258e-15,1.37844541369016e-13
"Lrit1",-1.52649771127437,3.11399048736328,80.5255041573226,2.86976958278031e-19,7.46053565806817e-18
"Adgrg2",-1.52746526825551,-0.223726861102476,18.8893013037769,1.38527399356556e-05,7.02467798305436e-05
"Fgf1",-1.53038810452433,5.50626097054762,118.188567708602,1.57663445193455e-27,8.84659509071386e-26
"Dnase2b",-1.53559893729173,3.98645413790944,109.200938115772,1.46640731346024e-25,6.90920910332896e-24
"Cdo1",-1.53790259380465,8.00722777022933,54.3051516693114,1.71651220119858e-13,2.46946724740843e-12
"Gpcpd1",-1.53893549603594,5.13953474129994,40.8200590703204,1.66911008662623e-10,1.67799730317764e-09
"Abcc6",-1.54381749648194,6.94376074577393,66.7948515763479,3.01283951430682e-16,5.84206294726946e-15
"Cyp4f14",-1.54398385548561,7.36220001797705,76.9699317621385,1.73580645042189e-18,4.18064296583454e-17
"Lrrc19",-1.54497015427231,-3.13565985006865,9.39136108137942,0.0021801029114837,0.00733993518304683
"Clstn3",-1.5466017541997,2.7866614625823,63.9954174557592,1.24708951675088e-15,2.27012417521429e-14
"Acsm5",-1.55276074635946,6.31978533380648,115.093550566847,7.50711138066787e-27,3.97109304874715e-25
"Arhgef37",-1.55817800072483,1.72583430903108,29.5477812173664,5.45550692595051e-08,3.93413988440373e-07
"Mafb",-1.56207000783338,5.47808746346463,48.1807049541318,3.8869440722185e-12,4.80839705002754e-11
"Kcnk5",-1.56447244018544,4.81677890683276,53.551554339814,2.51895043698476e-13,3.53037542411865e-12
"Csrp3",-1.56571973177229,3.49769700835122,41.6270350340135,1.1045524885547e-10,1.13739885435687e-09
"Phyh",-1.57097764770889,8.70627966483328,159.30026421643,1.60891910537539e-36,1.60068886533635e-34
"Gas1",-1.57182190427335,3.54654011720745,55.4237952758623,9.71532439035409e-14,1.4393258648642e-12
"Htra4",-1.57249796990369,-2.46599747818462,9.95496475652151,0.00160416197674667,0.00556679069660667
"Alas2",-1.57335835657719,6.00302229380794,134.161217715775,5.03743436977969e-31,3.66020547312054e-29
"Adrb3",-1.57501754701214,2.02332734787197,30.608989342046,3.15627980515768e-08,2.35827526632044e-07
"Gys2",-1.57580960828285,7.05188141046647,62.18240130235,3.13073272552715e-15,5.45337800748895e-14
"Baat",-1.57718073707321,7.49969328256496,104.372760599319,1.67619190904841e-24,7.25051105541057e-23
"Il12rb1",-1.58147422999491,0.0880809922569227,53.4555198822478,2.64514590723337e-13,3.69449185650138e-12
"Selenbp1",-1.58289389680867,8.63102397178059,58.4591323892485,2.07557905883732e-14,3.30393867784276e-13
"Col5a3",-1.58305829608848,5.81922685225557,63.5033252829065,1.60096342231709e-15,2.88787453591883e-14
"F830016B08Rik",-1.58393407739467,4.08989117829913,72.6842238593628,1.52145465332816e-17,3.36371517244782e-16
"Tnfaip8l3",-1.58430745272587,-0.763515507351256,24.81550173965,6.30880642416457e-07,3.91812474847215e-06
"Gm16551",-1.58478773581774,2.58748224124757,38.2917723456001,6.09189550213583e-10,5.72390341277688e-09
"Ero1b",-1.58823643953045,6.09890613186712,60.7258863520239,6.56017912044707e-15,1.10404784195579e-13
"Gm826",-1.58938821391904,-0.422600746253566,20.771814537978,5.17388427378497e-06,2.81161480063016e-05
"Xirp1",-1.5921241748733,-0.354688563783461,12.0072257037193,0.00052994685240207,0.00202304238947526
"Dio1",-1.59473246016341,5.12820611493781,20.0763467175762,7.44112998874567e-06,3.93941280022277e-05
"Aifm3",-1.59495966125562,2.10424131265894,60.2685016203581,8.27612419141045e-15,1.38026115060744e-13
"Thrsp",-1.59724074393384,8.27248902770318,9.53765226611677,0.00201299068212211,0.00683154421076524
"Hsd11b1",-1.60155911053617,8.32636187731775,129.155266357597,6.27154310528585e-30,4.28036953837544e-28
"Dlgap3",-1.60171506348232,-2.25107229509795,13.0737236733932,0.000299467205212749,0.00120228437020614
"A330093E20Rik",-1.60386430019255,-1.51509373989069,23.0948843133223,1.54200418777094e-06,9.04467626418843e-06
"Ahcy",-1.60819873182925,10.252653687278,74.4350730174142,6.26657240343385e-18,1.43322217824601e-16
"Lama3",-1.61256671272111,1.57527565982477,37.0424768477748,1.15583672530981e-09,1.0479505283417e-08
"Haao",-1.61598100840904,8.33992768539578,68.2927911546797,1.40935268509605e-16,2.82900995620709e-15
"Zfp981",-1.6174718368532,-1.31995034204773,14.1873715182719,0.000165477378206689,0.000697702256246523
"Hsd3b3",-1.62000481077016,7.06650991950707,84.5225069373831,3.79865866599339e-20,1.07387872910657e-18
"Xlr4b",-1.62096269881627,0.0563393699163617,9.61473743261833,0.00193022058248992,0.00658086408425819
"Whrn",-1.62103486113902,-0.402084511236111,59.4514184325645,1.25350709310621e-14,2.05218151755559e-13
"Ube2ql1",-1.62159247347442,-3.12378694049429,9.09765077989988,0.00255938010659742,0.00848436309334301
"Slc30a10",-1.6235705543433,4.72642545738259,61.1642685578361,5.25058562671023e-15,8.94709475666097e-14
"Plbd1",-1.6269858825517,4.08619890973252,256.08640398377,1.22352003537104e-57,5.75432595544414e-55
"Ppm1k",-1.63024821508477,5.09026211524602,88.2677098350559,5.7169108278285e-21,1.74591891834049e-19
"Gm19648",-1.63727770445988,0.56319197758937,33.4392348774226,7.35256220728919e-09,5.97326402688283e-08
"Ar",-1.63974500488387,-0.226006358193511,8.06599814755629,0.00451036217597892,0.0140752248046865
"Abcg8",-1.64081769096649,5.69229095746362,108.344304121559,2.25917762910885e-25,1.05293959877763e-23
"Mug1",-1.64157717153287,10.9565708973171,64.8533648591933,8.0684183134033e-16,1.49932310713221e-14
"Abcb11",-1.64276599731659,8.74121718574576,97.2817333437122,6.01325227056576e-23,2.28071549094904e-21
"Pkdrej",-1.64332652551301,-0.961596706022131,24.2575651065012,8.42754228852863e-07,5.13897304048492e-06
"Hsd3b6",-1.64462229963317,4.79777526264501,83.6131465148937,6.01715858257694e-20,1.68265774114073e-18
"Sult1c2",-1.64514792394533,1.03480560451221,30.9961549554559,2.58540108874673e-08,1.94918595052788e-07
"Zfp600",-1.6472149459517,-0.440055936278762,22.681709215063,1.91179051780791e-06,1.10631510792253e-05
"Gm2061",-1.65136976239381,-0.297209167279909,55.9623895263797,7.38707437195251e-14,1.10643574278689e-12
"Cfd",-1.65759584041506,-1.04499041736031,7.13009780488899,0.00758005927332007,0.0224237640922885
"Mfsd4b1",-1.6578278343898,4.65832066572959,168.414534995955,1.64231759491527e-38,1.93061765928048e-36
"Cyp2c69",-1.65855058586695,6.89067236794418,74.0243966236347,7.7157526564994e-18,1.74613625516772e-16
"Gbp11",-1.65926450720085,2.82111118024874,12.2364766418935,0.00046864240481739,0.00180607465515665
"Dpyd",-1.66268912555039,7.93830577351063,82.6554951822425,9.76758885052421e-20,2.66798543607719e-18
"Fbxo21",-1.66375353811801,6.08297344653969,92.5324944200849,6.6228384060295e-22,2.23354577638546e-20
"Cyp46a1",-1.66548854526906,1.14083038256488,46.0138425604039,1.17420381966275e-11,1.36569830050433e-10
"B4galnt3",-1.66765347596139,-0.29704037288516,17.3350119697408,3.13359898860714e-05,0.00015046743092315
"Hykk",-1.67246299966638,5.44274456404105,80.8104550025732,2.48440059255508e-19,6.51764605756818e-18
"Afmid",-1.6725931170209,6.00409002628185,36.5833606442717,1.46275013278413e-09,1.30878442354642e-08
"Pdk1",-1.67458850425224,5.7674035597862,84.7903260676392,3.3174353231723e-20,9.4506717515967e-19
"Hsd3b1",-1.67677080965399,1.60498409647464,50.5674620628415,1.1513817844777e-12,1.49963709058835e-11
"Slco1b2",-1.68233152840889,9.03209848202111,106.061912754464,7.14671050196641e-25,3.22062649049417e-23
"Acsl1",-1.69524731528544,9.37006896456772,139.327294526113,3.73526422798874e-32,2.901503897459e-30
"Hsd3b2",-1.69784097736708,5.85505633935232,92.8717071764487,5.57964733547304e-22,1.90156439560845e-20
"Cnmd",-1.6993694426749,1.37859211089462,26.7722390781594,2.28902170077758e-07,1.51161920689338e-06
"Inmt",-1.70000146142592,8.85295004356102,19.5106417192021,1.00040801639066e-05,5.19420998795207e-05
"Serpina3k",-1.70746142994686,11.361664969861,89.92572639328,2.47270699398425e-21,7.8288264153477e-20
"Pigr",-1.70774991168045,9.77373797143399,70.6903629543694,4.17929023270943e-17,8.83216506940318e-16
"G430095P16Rik",-1.71866611055448,-3.22527244700717,7.09595930773233,0.00772579288564135,0.0227975227666991
"Gm19521",-1.72029014198083,-3.47407875837692,7.41325684054723,0.00647450133316146,0.0194694171105426
"Fhod3",-1.72193858540832,-0.244853064673315,50.516928604021,1.18141319942035e-12,1.53565905675408e-11
"Arrdc3",-1.7269475762247,6.68256541390484,49.3563508130388,2.13442348539736e-12,2.7051020233598e-11
"Pklr",-1.72855564358875,7.88094814153352,81.8393330257543,1.47611463118496e-19,3.95675203780947e-18
"Ces1e",-1.73361799587603,6.91430549635694,80.1210237495838,3.52165365330712e-19,9.08221486042823e-18
"Enpp3",-1.73678588027104,5.15936934865281,74.0613391242318,7.57269977436883e-18,1.71526291649386e-16
