gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000198909,1474.5,-2.29,0.19,-12.22, 2.4e-34, 8.2e-34,MAP3K3
ENSG00000198919,348.95,-2.03,0.12,-16.74, 6.4e-63, 4.7e-62,DZIP3
ENSG00000198932,789.44,-3.19,0.15,-20.78, 6.7e-96, 9.9e-95,GPRASP1
ENSG00000198933,4376.11,3.36,0.21,15.95, 2.8e-57, 1.7e-56,TBKBP1
ENSG00000203880,1618.01,-3.03,0.11,-27.82,2.8e-170,1.7e-168,PCMTD2
ENSG00000204161,1193.24,1.63,0.26,6.35, 2.1e-10, 3.6e-10,TMEM273
ENSG00000204217,1064.65,-1.92,0.18,-10.7, 1.0e-26, 3.0e-26,BMPR2
ENSG00000204220,1611.48,1.79,0.1,18.49, 2.7e-76, 2.7e-75,PFDN6
ENSG00000204257,564.16,-2.25,0.49,-4.58, 4.6e-06, 6.6e-06,HLA-DMA
ENSG00000204271,461.92,-1.52,0.12,-12.46, 1.3e-35, 4.6e-35,SPIN3
ENSG00000204392,1649.71,1.72,0.08,21.63,8.5e-104,1.6e-102,LSM2
ENSG00000204394,7490.02,2.52,0.1,25.52,1.2e-143,4.9e-142,VARS1
ENSG00000204406,373.96,-1.78,0.12,-15.32, 5.3e-53, 3.0e-52,MBD5
ENSG00000204574,10627.38,1.64,0.09,18.63, 1.8e-77, 1.8e-76,ABCF1
ENSG00000204681,582.18,-2.62,0.2,-13.08, 4.2e-39, 1.7e-38,GABBR1
ENSG00000204899,926.31,1.61,0.18,8.73, 2.5e-18, 5.5e-18,MZT1
ENSG00000205045,1136.93,-1.97,0.2,-9.69, 3.2e-22, 8.2e-22,SLFN12L
ENSG00000205208,690.95,1.82,0.12,14.62, 2.0e-48, 1.0e-47,C4orf46
ENSG00000205268,2699.1,-2.23,0.08,-27.21,4.5e-163,2.5e-161,PDE7A
ENSG00000205339,12489.08,1.67,0.1,16.41, 1.7e-60, 1.2e-59,IPO7
ENSG00000205356,1722.42,-2,0.14,-14.34, 1.2e-46, 6.0e-46,TECPR1
ENSG00000205413,2653.82,-3.42,0.35,-9.76, 1.7e-22, 4.4e-22,SAMD9
ENSG00000205542,22311.72,-2.52,0.22,-11.31, 1.1e-29, 3.5e-29,TMSB4X
ENSG00000205744,2378.84,-1.62,0.11,-14.31, 1.9e-46, 9.2e-46,DENND1C
ENSG00000213203,1173.92,-4.23,0.2,-21.6,1.7e-103,3.0e-102,GIMAP1
ENSG00000213281,5970.97,1.54,0.1,16.04, 6.9e-58, 4.4e-57,NRAS
ENSG00000213445,2106.48,-2.07,0.14,-14.71, 5.3e-49, 2.7e-48,SIPA1
ENSG00000213463,589.22,-2.03,0.14,-14.12, 2.8e-45, 1.3e-44,SYNJ2BP
ENSG00000213585,14041.89,2.74,0.11,24.94,2.5e-137,9.1e-136,VDAC1
ENSG00000213626,6181.94,-2.16,0.23,-9.28, 1.7e-20, 4.1e-20,LBH
ENSG00000213654,2405.64,-3.51,0.24,-14.75, 3.2e-49, 1.7e-48,GPSM3
ENSG00000213658,681.98,-1.78,0.18,-10.01, 1.4e-23, 3.6e-23,LAT
ENSG00000213903,445.45,-1.93,0.13,-14.97, 1.2e-50, 6.2e-50,LTB4R
ENSG00000213918,1278.39,-2.08,0.12,-17.88, 1.8e-71, 1.6e-70,DNASE1
ENSG00000213930,744.45,-2.67,0.1,-27.21,4.7e-163,2.6e-161,GALT
ENSG00000213983,1677.98,-2.07,0.12,-17.58, 3.7e-69, 3.1e-68,AP1G2
ENSG00000214013,470.16,-1.97,0.16,-12.2, 3.0e-34, 1.1e-33,GANC
ENSG00000214021,566.53,-2.33,0.14,-17.01, 6.7e-65, 5.0e-64,TTLL3
ENSG00000214113,1280.32,1.76,0.1,18.49, 2.4e-76, 2.4e-75,LYRM4
ENSG00000214160,2477.79,1.67,0.1,17.51, 1.3e-68, 1.1e-67,ALG3
ENSG00000214413,739.58,-1.69,0.13,-13.34, 1.4e-40, 5.7e-40,BBIP1
ENSG00000214655,1877.88,-1.56,0.11,-14.45, 2.4e-47, 1.2e-46,ZSWIM8
ENSG00000214706,5219.14,2.88,0.11,26.87,4.8e-159,2.4e-157,IFRD2
ENSG00000215012,875.93,-1.72,0.12,-14.1, 3.9e-45, 1.8e-44,RTL10
ENSG00000215021,13617.19,1.57,0.09,17.33, 2.7e-67, 2.2e-66,PHB2
ENSG00000215252,2637.63,-1.51,0.16,-9.44, 3.8e-21, 9.4e-21,GOLGA8B
ENSG00000215845,309.92,-2.29,0.15,-15.29, 8.7e-53, 4.9e-52,TSTD1
ENSG00000220205,3374,-1.56,0.08,-18.45, 5.3e-76, 5.2e-75,VAMP2
ENSG00000221978,6417.88,-1.86,0.08,-23.62,2.2e-123,6.1e-122,CCNL2
ENSG00000223865,901.13,-2.7,0.44,-6.17, 7.0e-10, 1.2e-09,HLA-DPB1
ENSG00000224877,1479.76,1.8,0.11,16.42, 1.4e-60, 9.3e-60,NDUFAF8
ENSG00000225830,588.85,-1.77,0.12,-15.19, 4.3e-52, 2.4e-51,ERCC6
ENSG00000225921,4807.67,1.75,0.08,21.44,5.1e-102,8.9e-101,NOL7
ENSG00000226979,27428.51,5.47,0.24,23,4.8e-117,1.2e-115,LTA
ENSG00000227057,5666.01,2.2,0.1,22.53,2.3e-112,5.0e-111,WDR46
ENSG00000227507,3821.99,-2.16,0.22,-10.04, 1.0e-23, 2.7e-23,LTB
ENSG00000228672,225.11,1.75,0.15,11.61, 3.8e-31, 1.2e-30,PROB1
ENSG00000229474,322.57,-2.9,0.2,-14.82, 1.0e-49, 5.5e-49,PATL2
ENSG00000232810,12932.26,5.08,0.23,22.28,5.3e-110,1.1e-108,TNF
ENSG00000235194,633.39,-3.36,0.17,-19.21, 3.1e-82, 3.5e-81,PPP1R3E
ENSG00000236104,472.42,-2.06,0.14,-14.55, 5.4e-48, 2.7e-47,ZBTB22
ENSG00000237440,435.87,-1.91,0.11,-17.14, 7.5e-66, 5.8e-65,ZNF737
ENSG00000237441,646.89,-2.35,0.17,-14.21, 7.6e-46, 3.6e-45,RGL2
ENSG00000237649,100.89,1.6,0.24,6.73, 1.7e-11, 2.9e-11,KIFC1
ENSG00000239305,661.34,-1.76,0.12,-14.38, 6.9e-47, 3.4e-46,RNF103
ENSG00000239672,2882.08,5.03,0.13,38.93, 0.0e+00, 0.0e+00,NME1
ENSG00000239697,303.25,-3,0.37,-8.12, 4.5e-16, 9.5e-16,TNFSF12
ENSG00000239900,5552.24,1.83,0.09,21.21,7.3e-100, 1.2e-98,ADSL
ENSG00000241343,2043.38,2.25,0.12,18.12, 2.3e-73, 2.1e-72,RPL36A
ENSG00000242372,3886.95,2.17,0.11,19.7, 2.1e-86, 2.6e-85,EIF6
ENSG00000243335,484.11,-4.46,0.36,-12.33, 6.1e-35, 2.2e-34,KCTD7
ENSG00000243678,827.9,2.43,0.11,22.92,2.9e-116,7.0e-115,NME2
ENSG00000244754,4191.99,-1.69,0.12,-14.61, 2.6e-48, 1.3e-47,N4BP2L2
ENSG00000246705,208.36,-2.32,0.27,-8.51, 1.7e-17, 3.7e-17,H2AJ
ENSG00000247077,4668.41,2.16,0.09,23.29,5.0e-120,1.3e-118,PGAM5
ENSG00000251369,616.52,-1.98,0.09,-22.39,5.1e-111,1.1e-109,ZNF550
ENSG00000254004,428.71,-1.67,0.11,-14.84, 7.6e-50, 4.0e-49,ZNF260
ENSG00000254087,453.74,-1.52,0.32,-4.79, 1.7e-06, 2.5e-06,LYN
ENSG00000254093,953.13,2.19,0.11,19.9, 4.4e-88, 5.6e-87,PINX1
ENSG00000254986,2817.27,2.04,0.08,25.78,1.4e-146,6.0e-145,DPP3
ENSG00000256269,784.1,2.09,0.11,18.44, 6.1e-76, 5.9e-75,HMBS
ENSG00000257093,3532.36,-1.71,0.09,-19.31, 4.1e-83, 4.7e-82,DENND11
ENSG00000261236,6858.76,3.15,0.11,28,1.7e-172,1.1e-170,BOP1
ENSG00000261371,566.44,-3.96,0.68,-5.79, 7.0e-09, 1.1e-08,PECAM1
ENSG00000262246,491.51,-1.71,0.15,-11.33, 9.0e-30, 2.8e-29,CORO7
ENSG00000262655,986.89,-5.37,0.17,-32.07,1.3e-225,2.2e-223,SPON1
ENSG00000262814,1246.83,3.22,0.14,22.78,7.3e-115,1.7e-113,MRPL12
ENSG00000263528,660.62,-2.85,0.22,-13.03, 8.0e-39, 3.2e-38,IKBKE
ENSG00000263956,482.21,-2.26,0.13,-18.07, 5.4e-73, 4.8e-72,NBPF11
ENSG00000264522,1809.98,1.96,0.14,14.35, 1.1e-46, 5.3e-46,OTUD7B
ENSG00000265354,3263.95,2.44,0.09,27.03,6.6e-161,3.5e-159,TIMM23
ENSG00000265972,6463.71,-2.26,0.1,-21.74,8.3e-105,1.6e-103,TXNIP
ENSG00000266028,534.85,-1.84,0.24,-7.67, 1.7e-14, 3.3e-14,SRGAP2
ENSG00000266338,1331.77,-3.06,0.13,-24.03,1.4e-127,4.1e-126,NBPF15
ENSG00000266714,1200.18,-2.83,0.25,-11.31, 1.1e-29, 3.6e-29,MYO15B
ENSG00000267680,421.17,-2.45,0.15,-16.75, 5.4e-63, 4.0e-62,ZNF224
ENSG00000268043,917.72,-1.8,0.11,-15.71, 1.4e-55, 8.3e-55,NBPF12
ENSG00000269858,573.19,-1.68,0.12,-14, 1.6e-44, 7.4e-44,EGLN2
ENSG00000271383,1119.1,-2.48,0.14,-18.07, 5.2e-73, 4.8e-72,NBPF19
ENSG00000271503,2897.63,-2.35,0.17,-14.11, 3.1e-45, 1.5e-44,CCL5
ENSG00000273604,6259.72,6.41,0.17,38.14, 0.0e+00, 0.0e+00,EPOP
ENSG00000273749,913.04,-1.74,0.47,-3.72, 2.0e-04, 2.7e-04,CYFIP1
ENSG00000275066,3641.33,-1.59,0.08,-19.5, 1.1e-84, 1.3e-83,SYNRG
ENSG00000275302,3871.45,2.82,0.31,9.2, 3.6e-20, 8.6e-20,CCL4
ENSG00000275464,1031.65,2.14,0.1,21.15, 3.0e-99, 4.8e-98,
ENSG00000276070,888.04,3.04,0.21,14.17, 1.3e-45, 6.3e-45,CCL4L2
ENSG00000277161,1385.77,2.74,0.11,24.21,1.8e-129,5.7e-128,PIGW
ENSG00000277632,1205.06,2.6,0.26,9.87, 5.4e-23, 1.4e-22,CCL3
ENSG00000277791,5313.35,2.11,0.11,19.54, 5.0e-85, 6.0e-84,PSMB3
ENSG00000278195,275.41,-2.17,0.34,-6.32, 2.7e-10, 4.5e-10,SSTR3
ENSG00000278540,3441.08,2.29,0.1,22.44,1.5e-111,3.2e-110,ACACA
