gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000168010,1219.08,-2.64,0.16,-16.33, 5.6e-60, 3.8e-59,ATG16L2
ENSG00000168016,3343.97,-4.54,0.29,-15.64, 3.7e-55, 2.2e-54,TRANK1
ENSG00000168056,2147.25,-3.42,0.22,-15.65, 3.3e-55, 2.0e-54,LTBP3
ENSG00000168067,1970.88,-2.85,0.17,-17.16, 5.3e-66, 4.2e-65,MAP4K2
ENSG00000168078,9.16,1.97,0.54,3.65, 2.6e-04, 3.4e-04,PBK
ENSG00000168209,2033.69,2.61,0.16,15.95, 3.0e-57, 1.9e-56,DDIT4
ENSG00000168214,13573.46,1.53,0.14,11.18, 4.9e-29, 1.5e-28,RBPJ
ENSG00000168268,649.51,1.83,0.25,7.46, 8.6e-14, 1.7e-13,NT5DC2
ENSG00000168300,873.05,-2.34,0.16,-14.52, 9.1e-48, 4.6e-47,PCMTD1
ENSG00000168334,2226.73,9.36,0.47,19.86, 8.9e-88, 1.1e-86,XIRP1
ENSG00000168389,2151.95,6.12,0.24,25.9,6.4e-148,2.8e-146,MFSD2A
ENSG00000168394,23566.26,1.91,0.11,17.54, 7.5e-69, 6.3e-68,TAP1
ENSG00000168439,16449.47,2.8,0.07,42.41, 0.0e+00, 0.0e+00,STIP1
ENSG00000168496,1778.19,2.56,0.11,23.96,7.5e-127,2.2e-125,FEN1
ENSG00000168675,1578.78,-3.18,0.22,-14.31, 1.8e-46, 8.8e-46,LDLRAD4
ENSG00000168685,13595.91,-3.31,0.13,-25.58,2.7e-144,1.1e-142,IL7R
ENSG00000168701,1473.44,2.15,0.1,21.07, 1.4e-98, 2.3e-97,TMEM208
ENSG00000168758,801.11,-4.82,0.26,-18.41, 1.0e-75, 9.9e-75,SEMA4C
ENSG00000168763,1212.6,-1.54,0.08,-20.04, 2.6e-89, 3.3e-88,CNNM3
ENSG00000168785,1991.69,1.65,0.11,15.45, 7.1e-54, 4.1e-53,TSPAN5
ENSG00000168827,5089.33,1.91,0.08,22.96,1.1e-116,2.7e-115,GFM1
ENSG00000168884,3727.66,1.5,0.09,17.31, 4.0e-67, 3.2e-66,TNIP2
ENSG00000168887,1010.83,-2.12,0.09,-22.87,8.3e-116,2.0e-114,C2orf68
ENSG00000168906,16071.55,1.6,0.06,28.8,2.1e-182,1.7e-180,MAT2A
ENSG00000168918,3495.85,-2.19,0.13,-17.41, 6.7e-68, 5.5e-67,INPP5D
ENSG00000168924,5119.35,1.75,0.09,18.88, 1.5e-79, 1.6e-78,LETM1
ENSG00000169016,1312.43,1.79,0.08,22.64,1.8e-113,4.0e-112,E2F6
ENSG00000169220,1270.68,-2.49,0.1,-24.93,3.6e-137,1.3e-135,RGS14
ENSG00000169230,2771.75,1.71,0.1,17.52, 9.9e-69, 8.3e-68,PRELID1
ENSG00000169245,4702.8,6.7,0.41,16.34, 5.2e-60, 3.5e-59,CXCL10
ENSG00000169288,1669.53,2.11,0.15,14.29, 2.7e-46, 1.3e-45,MRPL1
ENSG00000169442,2179.83,-4.43,0.37,-11.95, 6.1e-33, 2.1e-32,CD52
ENSG00000169499,1782.99,-2.29,0.17,-13.25, 4.5e-40, 1.8e-39,PLEKHA2
ENSG00000169504,1340.47,2.02,0.28,7.28, 3.4e-13, 6.4e-13,CLIC4
ENSG00000169607,65.92,2.64,0.25,10.56, 4.5e-26, 1.3e-25,CKAP2L
ENSG00000169660,943.38,-2.13,0.16,-13.56, 6.5e-42, 2.8e-41,HEXD
ENSG00000169710,23370.14,3.33,0.13,26.43,5.9e-154,2.7e-152,FASN
ENSG00000169926,8514.36,-2.22,0.2,-11.31, 1.1e-29, 3.5e-29,KLF13
ENSG00000170006,494.45,-2.72,0.2,-13.91, 5.2e-44, 2.3e-43,TMEM154
ENSG00000170027,11365.88,2.26,0.11,21.22,6.7e-100, 1.1e-98,YWHAG
ENSG00000170275,1091.76,-2.6,0.35,-7.49, 6.8e-14, 1.3e-13,CRTAP
ENSG00000170315,9463.13,1.79,0.09,20.52, 1.3e-93, 1.9e-92,UBB
ENSG00000170515,13844.46,2.1,0.08,25.88,1.1e-147,4.6e-146,PA2G4
ENSG00000170571,4664.54,-2.55,0.19,-13.63, 2.8e-42, 1.2e-41,EMB
ENSG00000170581,4333.5,-1.59,0.2,-8.03, 9.7e-16, 2.0e-15,STAT2
ENSG00000170606,12426.33,2.23,0.1,21.75,6.3e-105,1.2e-103,HSPA4
ENSG00000170638,3468.28,-1.55,0.1,-16.06, 4.8e-58, 3.1e-57,TRABD
ENSG00000170776,7560.68,-1.65,0.1,-16.64, 3.7e-62, 2.6e-61,AKAP13
ENSG00000170846,1065.88,-1.86,0.08,-24.73,5.4e-135,1.8e-133,MRFAP1L2
