"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mnd1",134.990966280787,-1.63005488566789,0.187705914720204,-8.6840890874305,3.81789488748435e-18,4.21083317536787e-17
"Znrf1",1433.19320967059,-1.63317194514329,0.139443249621514,-11.7120903993284,1.10520667117199e-31,3.29372944659905e-30
"Ptprd",2970.77518057786,-1.63603752220852,0.120546915218272,-13.5717908603981,5.88659805061442e-42,3.5836602014053e-40
"Vmo1",115.160272979461,-1.63618481723565,0.225876636716718,-7.24370984542177,4.36574904236292e-13,3.02837022215182e-12
"Agxt",4920.90156695147,-1.63717163462217,0.203063030640591,-8.06238156427332,7.48222248672828e-16,6.69924971271796e-15
"Mug2",31241.367189867,-1.63894986471267,0.205665553689338,-7.96900518979632,1.59956743063596e-15,1.40034032349951e-14
"Aadac",9745.90356193011,-1.64049980480214,0.149393860335527,-10.9810389872629,4.71469787127592e-28,1.09068641879629e-26
"Slc25a25",5891.97440690867,-1.64067996649813,0.271687358733175,-6.03885279811436,1.55213756286074e-09,7.53354573193383e-09
"Pfkfb1",741.167464988126,-1.64233836518892,0.179408465587923,-9.15418544942663,5.47694273386727e-20,7.06846437766259e-19
"Syne4",29.2924339713604,-1.64302896971096,0.321139508332819,-5.11624676216474,3.11675255473624e-07,1.1745416316535e-06
"Cyp27a1",9676.43816370428,-1.64572181013582,0.13136427353768,-12.527925331721,5.2518594497007e-36,2.09926917571514e-34
"Pkhd1l1",6.13642800138165,-1.64687991729944,0.703594399218039,-2.34066661009489,0.0192493475443424,0.0347389249149824
"Fxyd1",4437.89879735858,-1.64719209236689,0.21655829850906,-7.60622937891239,2.82208241266703e-14,2.18072147019744e-13
"Grtp1",383.481028032732,-1.64768749045224,0.108805178582594,-15.1434657055545,8.36849012366623e-52,1.06079210081295e-49
"Zyg11a",63.0363085972411,-1.64854273740088,0.35861484525121,-4.59697293414074,4.28673279614031e-06,1.41365937024534e-05
"Lama3",87.5122910604859,-1.64930988674856,0.271596077476987,-6.07265724184957,1.25810805038171e-09,6.16789554659983e-09
"Txndc15",1531.98202865469,-1.64951494708358,0.0747809005094967,-22.057971164363,8.00954448379647e-108,1.85290799702027e-104
"Car14",605.204516442821,-1.6511683576053,0.230102719000824,-7.17578812095387,7.18918210578012e-13,4.87720649676219e-12
"Ociad2",1081.16782525533,-1.65129767307969,0.0994410156406792,-16.6058005586598,6.32703749125662e-62,1.3459135959849e-59
"Mnd1-ps",63.1568748933758,-1.65329626125042,0.25720621965559,-6.42790156266149,1.29377473277492e-10,7.02578901979622e-10
"Kcnn2",336.854615925541,-1.65396358425373,0.162069808201471,-10.2052541593538,1.87828741888117e-24,3.42477490258462e-23
"Fabp1",101128.523882408,-1.65404950448393,0.190814989246042,-8.66834157536313,4.38459701720073e-18,4.80721190742499e-17
"Ppargc1b",116.219007725805,-1.65465654567569,0.234379089895412,-7.05974473411455,1.6680874702758e-12,1.09472676639696e-11
"Tbc1d16",599.147023613261,-1.65477266656912,0.188089392560239,-8.79779898294449,1.39525680702508e-18,1.59395171158106e-17
"AI182371",6720.93993892804,-1.6564555377844,0.12723204922446,-13.0191688955831,9.52014371248343e-39,4.81391529199265e-37
"Fah",13005.6947736225,-1.65859215640505,0.156161443720813,-10.6210093662447,2.37973851856531e-26,4.89897895028789e-25
"Mcc",522.035065830433,-1.6614091978023,0.192606555867127,-8.62592236449344,6.35781404670279e-18,6.87290096742573e-17
"Gm10319",1899.93202635398,-1.66200761780101,0.438793948938285,-3.78767214502944,0.000152065323542393,0.000400380273552293
"D130020L05Rik",167.285549818344,-1.6620682004964,0.207755051058279,-8.00013377306605,1.2428411223063e-15,1.0968650763244e-14
"Capn3",41.1801350397393,-1.66227622566204,0.293716365041085,-5.65946070260513,1.51849414183959e-08,6.64054137122527e-08
"Sptbn2",1821.02034794154,-1.66354558298614,0.19303183035625,-8.61798585194983,6.81420984882671e-18,7.31499893690464e-17
"Hyi",1020.71109179569,-1.66413067135011,0.194637970342885,-8.5498768221765,1.23219942001603e-17,1.29865117689275e-16
"Serping1",13180.6842038008,-1.66471957367848,0.0950784185397715,-17.5089110572672,1.2251533384488e-68,4.36036785282152e-66
"Fhit",44.0158125248529,-1.66595428405181,0.274109673941143,-6.07769240719875,1.21924343496887e-09,5.99164584465449e-09
"Tspan33",225.615668217587,-1.66666849686622,0.145959959554828,-11.4186692155128,3.37360088316165e-30,9.20873621602842e-29
"Rdh18-ps",2091.46238740721,-1.66674635375258,0.166804898211507,-9.99219070676908,1.64896519343229e-23,2.83882779859083e-22
"P2ry1",154.120592725803,-1.66683999937008,0.214618543971747,-7.76652365878275,8.06695173392278e-15,6.57977416217316e-14
"Slc38a4",19154.3407365194,-1.66993312344615,0.182577155741515,-9.14645162843032,5.88343098936714e-20,7.56143453612623e-19
"Qprt",1796.35419671504,-1.67068939259226,0.105062194198321,-15.9019084394771,6.14634486521581e-57,1.04358169193164e-54
"A530079E22Rik",7.28435970974958,-1.67251704819131,0.484867175401597,-3.44943343876811,0.000561764203993318,0.00135336762865196
"Nat8f6",24.809310471653,-1.67403743305904,0.455939433116045,-3.67162239426868,0.000241015605958206,0.000615832641097406
"Hsbp1l1",32.0355638796597,-1.67581964553904,0.340008505629559,-4.92875800985066,8.27539971051911e-07,2.97094810091788e-06
"C730027H18Rik",283.93466119159,-1.67642886095354,0.146047715538407,-11.4786380243837,1.68920419145764e-30,4.73668211686462e-29
"Slc27a5",17446.0169595608,-1.67665646087198,0.158090630942297,-10.6056661984223,2.80458026752985e-26,5.75436441365575e-25
"Csad",9144.80521122028,-1.67750272106331,0.253097892877748,-6.62788102259541,3.4053976351367e-11,1.95543574413512e-10
"Gcgr",5494.95122144487,-1.67884279181221,0.114621301682696,-14.6468655229524,1.41075314203486e-48,1.43454991206808e-46
"Proca1",121.759762762487,-1.68002239880281,0.223021689806877,-7.53300004254116,4.95875953940342e-14,3.75344633111407e-13
"Ddah1",2863.52091407897,-1.68098330239548,0.135529729300337,-12.403059543271,2.5153266401644e-35,9.61800622510798e-34
"Atat1",254.497724626213,-1.68210911407978,0.10927978633865,-15.392683042654,1.83272465355887e-53,2.49398787966279e-51
"Itih1",13562.8943056192,-1.68265881544951,0.0956424843668226,-17.5932152598203,2.77666352467164e-69,1.02775423702196e-66
"4833411C07Rik",201.397788053664,-1.68396366156032,0.209909006927208,-8.02235066618311,1.03740481432992e-15,9.21711516985303e-15
"Fetub",12099.3992612653,-1.68435475585689,0.148146149259554,-11.3695480056378,5.92938326961777e-30,1.59267193281301e-28
"Masp2",2362.1418368386,-1.68483640445377,0.104522583627399,-16.1193528324927,1.86552648302116e-58,3.41834639814581e-56
"Aldh1l1",21787.2094098872,-1.68563254291749,0.231047000238968,-7.29562617637998,2.97273232393163e-13,2.09506310430323e-12
"Serpina6",4721.67453095257,-1.68571528788737,0.350438625559859,-4.81030104827709,1.50703141238036e-06,5.23374560873021e-06
"Slc7a2",7453.67036894762,-1.68838090454396,0.249571571615277,-6.76511709092672,1.33201428816631e-11,7.97270001005626e-11
"Sycp3",82.804696265463,-1.68907724880029,0.229716248666417,-7.35288539058937,1.93973251202625e-13,1.38604747490617e-12
"2610528J11Rik",202.070576565487,-1.68983207043644,0.173047630382511,-9.76512690004005,1.58912937240077e-22,2.5288063022374e-21
"Hdac11",1323.74926253457,-1.69004861407578,0.107487818640254,-15.723164126459,1.04948937708363e-55,1.63217646232661e-53
"Icam4",11.1814958179036,-1.69067693086547,0.452608453171859,-3.73540732396243,0.000187411590670024,0.000487138526478952
"1300017J02Rik",10987.7138157101,-1.6907122710602,0.122031189165765,-13.854755350811,1.19061836071731e-43,8.25272434524164e-42
"Pcx",10209.0005644333,-1.69073400304801,0.165703303588779,-10.2033813836557,1.91487237130508e-24,3.48461582848999e-23
"Zfp385b",338.305301728966,-1.69257117359083,0.206416369865328,-8.19979139588158,2.40804528422802e-16,2.26566822954794e-15
"mt-Rnr1",57962.021825345,-1.69403977266236,0.218037175703302,-7.76949970663515,7.87967256483885e-15,6.43269078771383e-14
"1700066M21Rik",626.205130126074,-1.69433321810851,0.151910456814356,-11.1534995920596,6.88443722053403e-29,1.70334598449764e-27
"Apol9a",2549.40080036706,-1.69485476334123,0.206199563062013,-8.21948765638999,2.04374394362369e-16,1.93372030494088e-15
"Gls2",6944.48897265748,-1.69550648049022,0.21519117239124,-7.87907078924045,3.29824608406215e-15,2.79874554230803e-14
"Eva1a",1637.89870124162,-1.6958056443224,0.120668589135698,-14.0534140364844,7.34080603214077e-45,5.52261370881419e-43
"Ube2u",57.4904721928929,-1.69739300962038,0.293286519211323,-5.78749072471807,7.14456311513509e-09,3.24000072462154e-08
"Fibin",10.3782466778395,-1.69756236356813,0.477307681627073,-3.55653686062915,0.000375775776107009,0.000930614517384238
"Amy1",4481.20983784849,-1.69772176993191,0.156164632547717,-10.871358912929,1.57832295878635e-27,3.52778055534529e-26
"Olfml1",358.587303267593,-1.69831357811558,0.166061672706863,-10.2270051266646,1.50089200634855e-24,2.75019884767253e-23
"Fam214a",1349.33705365816,-1.69842252546085,0.258300779963145,-6.57536739030827,4.85331815253704e-11,2.74093253124818e-10
"Hnmt",586.354453366112,-1.70009381518867,0.188124755786356,-9.03705526730032,1.60949009000953e-19,1.99643653457148e-18
"Ankrd2",8.78173528049695,-1.70177305708991,0.738637297156934,-2.30393599624627,0.0212262366898812,0.0379183361408911
"Saa3",152.951715825458,-1.70242609227495,0.555086846451468,-3.06695448317345,0.00216251783965507,0.00472288383980368
"Tm7sf2",2834.80224922503,-1.7027994720675,0.128092911272146,-13.2934715524557,2.52581927672005e-40,1.39956099863048e-38
"Fbp1",18461.0826928659,-1.70496871553649,0.17443641344249,-9.77415599122374,1.45363823651572e-22,2.32118057318347e-21
"Rilp",547.414872752218,-1.70602168098743,0.127603857076344,-13.3696717330945,9.0941304496316e-41,5.1469441049337e-39
"Kcp",181.810123815868,-1.7068882608859,0.177613759699175,-9.61011277378996,7.24695700481443e-22,1.09574700398775e-20
"Entpd8",1548.01808260423,-1.708322539478,0.102590075244946,-16.651927931617,2.93008685790609e-62,6.53338764810459e-60
"Ccdc30",48.5324468677528,-1.71081132648654,0.219248262750976,-7.80307814082751,6.04151145020139e-15,4.98930175853981e-14
"Csrp3",336.968091440747,-1.71186288105457,0.290202356717255,-5.89885933532389,3.66023105907e-09,1.70930850896312e-08
"Scp2",88808.2410451101,-1.71382872973358,0.110191896419478,-15.5531285459448,1.51519782642363e-54,2.22553699790652e-52
"1190005I06Rik",149.965418715182,-1.71512631166217,0.215128782540648,-7.97255621217538,1.55425501992983e-15,1.3613155538969e-14
"Pdk2",2357.51537464852,-1.71637984506566,0.179129515828887,-9.58178130010256,9.53854085536603e-22,1.42477623575673e-20
"Sytl1",144.80895909731,-1.71680294618554,0.220422661144541,-7.78868623249111,6.77095170046983e-15,5.55945000535027e-14
"Mycn",26.4635949763438,-1.71740768588502,0.306052657783214,-5.61147777093152,2.00606060862323e-08,8.66623802142628e-08
"Il18",181.986635637392,-1.71791716922952,0.146331092346445,-11.7399326532893,7.95497719116852e-32,2.40953785396e-30
"Nit2",2768.47826851534,-1.71962082943805,0.132391989839018,-12.9888585520092,1.41522005647256e-38,7.04071978095096e-37
"Sdr42e1",1554.36414507463,-1.72031076252194,0.134705147503576,-12.7709355908338,2.38273062965074e-37,1.08081362164084e-35
"Socs2",528.847923259365,-1.72183250004885,0.426018091302523,-4.04168868693923,5.30676549676041e-05,0.000150171726373922
"Cyp2c23",7678.44841815955,-1.72245933357511,0.179803211931638,-9.57969168109186,9.73350645250862e-22,1.45272583803691e-20
"Naaladl2",20.4445350588013,-1.72393619052745,0.457664514265602,-3.76681201358551,0.000165345405983899,0.000432936881594651
"Mccc2",1263.5703624289,-1.72399825973403,0.132053046912128,-13.0553463176145,5.92400285044455e-39,3.02106978297778e-37
"Got1",3916.25872833747,-1.73029289762599,0.237493420690776,-7.28564560901622,3.2013349837686e-13,2.24761405707912e-12
"Gm11437",63.1179695568254,-1.73039007997344,0.348689353066709,-4.96255496405246,6.95718693854441e-07,2.51674469647462e-06
"Ndrg2",22964.1660143018,-1.7311428137463,0.149789041433052,-11.5572060357969,6.78816162983329e-31,1.94170799510548e-29
"Abat",5499.66730568213,-1.73122130712494,0.262778100961872,-6.5881490915262,4.45343334995773e-11,2.52511308234276e-10
"Slc30a10",788.845331230389,-1.73129438019522,0.233821171879619,-7.40435250699436,1.3179191418624e-13,9.5425389508793e-13
"Tle2",287.217859982855,-1.73196792915984,0.171277731109626,-10.1120438596381,4.8854279179921e-24,8.66870704489739e-23
"Klb",498.934761973499,-1.73532977190027,0.25386287713285,-6.83569725317554,8.16071236495133e-12,4.98779074432477e-11
"Slc25a42",1548.66108212433,-1.73770403009993,0.116804113299987,-14.8770790771469,4.64333283971419e-50,5.17380838275373e-48
