"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Tent5b",11.2251280282736,1.74152658372198,0.518016934662352,5.67399280105733e-05,0.000159806094611426
"Plekhd1",4.85812128047883,1.74145482387175,0.767439367330821,0.00139666275077093,0.00315412294429745
"Adm",39.9500318082362,1.74142159707002,0.255570625004962,1.09098648021656e-12,7.29439551639015e-12
"Slc25a36",59.6597194736249,1.74090513112379,0.236445645593411,2.13534325010343e-14,1.67239938762861e-13
"Fmnl1",122.379979613818,1.74049859338388,0.183247621954723,2.74075014769904e-22,4.25172363650177e-21
"Gimap7",12.9329227276239,1.74049650087572,0.546703217187671,0.000103145781533066,0.000279695088473621
"Tac1",1.92426468975991,1.73942019317846,1.5899209316284,0.00608784602114572,0.0122451653421741
"A1bg",7.3976765724112,1.73890469947829,0.622576959595663,0.000344897684981284,0.000859781984906872
"AI504432",15.617614899293,1.73885374372892,0.383513676796946,5.24894319306358e-07,1.92170507762666e-06
"Pam",946.490199796808,1.73877863060893,0.148548548378334,1.60411872891545e-32,5.10971175835425e-31
"Gjc2",55.9882145232791,1.73830834944374,0.199554267216358,3.78596270864332e-19,4.56164139641028e-18
"Gm4524",45.01754864339,1.73746737637616,0.277961673267028,4.52109418274278e-11,2.56190722718986e-10
"Tlcd5",30.5723608961618,1.73636118993298,0.328464632141654,1.25771775256558e-08,5.55925064407241e-08
"Ubxn11",8.75595975751588,1.7348533819861,0.619814868381456,0.000340828920218234,0.000850097146425723
"Prkx",161.394810681655,1.73461913093715,0.171199044397144,5.20271678610104e-25,9.82517138371142e-24
"Brd8dc",5.80256244095537,1.73398661422652,0.632962424656304,0.000405269622481029,0.000999510248301759
"Rhbdl3",17.8157972715639,1.73289267397398,0.44746365303484,8.77609602524168e-06,2.78067469849594e-05
"Cthrc1",3.15436188956916,1.73268556104933,1.10819762911773,0.00586549761766868,0.0118403975142009
"Vash1",101.099163118952,1.7324701981805,0.1843987146154,7.35855570653955e-22,1.11080579495047e-20
"A930007A09Rik",14.8944228354309,1.73205175608942,0.434745143411121,5.64131348384661e-06,1.83293168268169e-05
"Zfp583",6.7572246110409,1.73194468261386,0.55691135495191,0.000132257006739018,0.000351476223968841
"Dcst1",1.20767743343228,1.73189175292481,1.04289914147303,0.00506493562901439,0.0103439377274519
"Mthfd1l",101.354517315489,1.73098917337304,0.294346120765596,4.40266317293733e-10,2.2589433696022e-09
"Lpl",2587.04036654687,1.73032787763441,0.219447280591027,3.86438483760505e-16,3.56877096754275e-15
"Bcl2a1a",59.8051646822798,1.73029369334111,0.311692931618179,2.96082297249648e-09,1.39571958104922e-08
"Cd164l2",2.54234812259831,1.73016098812569,0.873567125729773,0.00275475892183762,0.0059075693356256
"Apobec3",120.490919978302,1.72995326813775,0.179192253902026,6.13806627640462e-23,1.00528489006567e-21
"Il20rb",24.9613302447397,1.72984064049624,0.337731049151291,3.00496373713252e-08,1.27086069202723e-07
"Plcg2",82.6633157104332,1.72951417712987,0.215176646555454,1.13267234110905e-16,1.09235888571679e-15
"Tgfbi",1515.84679922053,1.72937565297703,0.127537053026373,9.55075154864493e-43,6.11611622528622e-41
"S1pr3",116.912469178124,1.72911220373802,0.197220344288673,2.32224889953267e-19,2.84433225570159e-18
"L3mbtl1",1.7653483014385,1.72571773348351,1.01170649456435,0.00474653224803517,0.00974313135696393
"Creb3l1",81.9408635054155,1.72477566718912,0.27786055495872,6.01356822260821e-11,3.37149673116662e-10
"Exoc3l4",43.8978835513577,1.72457998301067,0.247606901969676,3.86774535276022e-13,2.70012686697598e-12
"Anxa5",2724.78228671141,1.72401678315864,0.14130984482657,4.23321194827736e-35,1.57317376559777e-33
"Slc6a8",398.505712292278,1.72396067572585,0.139962480993381,1.00012395234624e-35,3.9131699759137e-34
"Lrrc8e",24.5694262199276,1.72347973482913,0.341681430704627,4.50980233122112e-08,1.86592693368901e-07
"Klre1",3.30764518150131,1.7224614401494,0.961806038652015,0.0040914366734856,0.00852033515429255
"Soga1",149.037211785535,1.72216171806832,0.161726916934639,2.36898578993061e-27,5.23809080217991e-26
"4930429B21Rik",2.32842624448362,1.72076539049786,0.853660666785837,0.00259182146612941,0.00558663404072409
"Fgfbp3",13.2141222918918,1.72013159611088,0.442746706179588,8.47248508468122e-06,2.69225237023715e-05
"Phldb1",276.835130646696,1.71993784692469,0.126372058764521,4.85328486891574e-43,3.16266700947266e-41
"Cerk",175.097781445053,1.71949280469423,0.192031521007447,4.41190772748858e-20,5.72588894197974e-19
"Dkk2",3.22526704028162,1.71924710585074,1.03534717579009,0.00518469372008604,0.0105638368897809
"Atp8b5",20.897214661206,1.71906171441241,0.328650841902906,1.71819872125137e-08,7.46799054349437e-08
"Yy2",21.8270303149298,1.71904424319796,0.31175451178099,3.68353204213495e-09,1.71975599151845e-08
"Ccl5",70.4556073246131,1.71818503299988,0.325369664270958,1.31790703338552e-08,5.81695813662431e-08
"Fgl2",182.668700450752,1.71750046963481,0.240971601315159,1.22406870111406e-13,8.89432251728228e-13
"Dock10",147.07097910951,1.71723834230975,0.16901774222811,3.97900665343088e-25,7.59169857062323e-24
"Gabre",2.2322772190772,1.71646333563938,1.04751965798522,0.005401145810984,0.0109772683421789
"Cxcl2",6.4182351422957,1.71608830995695,0.86395825162478,0.00278342586971962,0.00596213687163207
"Cd200r1",28.2915502458888,1.71575136748006,0.260507536722605,5.22564037596698e-12,3.26175131325534e-11
"Gxylt2",1.77282583249779,1.71528371714183,1.06950874441982,0.00571656748411807,0.0115675174315081
"Pgd",1977.15874775001,1.71437342628221,0.125536828078132,2.59125237194817e-43,1.74386573264163e-41
