"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Hepacam2",1.52202947229237,-2.28874221202175,2.72070519711183,0.00941529500407442,0.0164302392140858,-3.03367691047277
"Gm19466",1.52228256856379,-5.36926641886004,3.13696474270358,0.00310438032613613,0.0058837196582769,-2.04667267693472
"Ankrd6",1.52260044644716,-1.19861937331596,3.97249784484869,0.000271487294142216,0.000614289873825814,0.184349785755568
"Alox5ap",1.52276967909333,0.356020596568099,5.07733961248741,8.14906060615584e-06,2.26877355181825e-05,3.37418203210908
"Ckap4",1.52507602868003,2.28547171178817,6.93722492309587,1.72458469993629e-08,1.40459170129886e-07,9.1134161944268
"Rhoh",1.52555923393446,-0.43341327339983,5.46608527937448,2.27351228760949e-06,6.74337144176067e-06,4.71850128506975
"2810029C07Rik",1.5283025676519,-2.34885441847478,3.08662118893801,0.00356510085137419,0.00668879841317881,-2.15939040455793
"Clba1",1.52836345988268,-0.134228542286059,5.02255385959034,9.74323468789761e-06,2.68830135116637e-05,3.22790349136262
"Cd74",1.52841468401334,6.69674262875093,6.63738941796172,4.65762122525375e-08,3.49213589083011e-07,7.73687440171168
"Fcgr1",1.52852562129659,1.5654080338734,6.1850513357874,2.09429298900899e-07,1.26722812810372e-06,6.71500600068994
"P3h3",1.52899432823099,2.20335498593626,7.03830764269873,1.23483742519842e-08,1.04111928545005e-07,9.5006490745379
"Cyfip2",1.52957975695073,1.2824397523362,8.03595815620104,4.74107490412529e-10,5.59477119274676e-09,12.7599311697733
"Gm11696",1.53006395721691,-1.9615670004751,4.16504886592269,0.000150092746766354,0.000353271071938606,0.77403567328758
"Galnt6",1.53060741801202,0.186009636026925,5.98496621323073,4.07308455296577e-07,1.31173404048264e-06,6.30098382968066
"Spry1",1.53174968138075,2.09181922201071,9.13548097281735,1.45451695883127e-11,2.51833936908222e-10,16.1606610703003
"Tmem121b",1.53245712744329,-5.16799947872616,2.86057658165697,0.00654417468360996,0.0117350548728554,-2.74011577940829
"Sgo1",1.53262027282598,-1.23527170520693,2.85442927334913,0.00665096685507156,0.011913341156439,-2.75531788378247
"Ncapg2",1.53315591072196,1.05247573697164,3.60668333602545,0.000812854142031864,0.00169949063142081,-1.21565668949352
"Chaf1b",1.53362685231915,0.730685555636578,3.76361355573154,0.000510396272624759,0.00110517498610285,-0.622838973736129
"Zfp423",1.53381425768337,-0.743312961286596,4.95109268513431,1.22935297369288e-05,3.35050820466903e-05,3.12486820710775
"Gm14827",1.53406549147937,-4.11181230216623,2.24160764373241,0.0302895998877327,0.047150573526869,-4.02112699072266
"Fscn1",1.53426252944691,2.54272356623341,8.56487007567419,8.72732199141254e-11,1.22556806705683e-09,14.3643923713177
"Fam217a",1.53432324407086,-3.63704616824371,2.55525591101426,0.0142945899041773,0.0239047166441269,-3.36402839166296
"Mlkl",1.53447158566368,2.2304936588774,8.56019275491854,8.85778694757875e-11,1.24119379725363e-09,14.3319070893683
"Kcnu1",1.53485366287611,-4.48173723059104,3.35368594526202,0.00169059528190555,0.00336156723476446,-1.48732629594917
"Spdef",1.53544777017009,-4.38445680945307,2.28027960790831,0.0276943291484576,0.0434347427443856,-3.99923481959239
"Cd247",1.53629271258799,-1.95232454531938,3.76019189401394,0.000515645096017879,0.00111514018047776,-0.382488187797192
"Hoxb7",1.53630271686473,-3.29338536427645,2.62530609524228,0.0119990428105066,0.0204385118121543,-3.2247563851049
"Gnat3",1.53736907398403,-5.49436469190602,4.75151245596133,2.3446284249648e-05,6.17727678433129e-05,2.51922607341862
"Parvb",1.53784898688517,2.25133391262967,7.82312987592162,9.44018650348272e-10,1.04309826691836e-08,11.9824889314764
"Pip5kl1",1.53873006495437,-5.26380715164796,2.87150618251102,0.00635823759286069,0.0114261867315915,-2.68342818681233
"Cdc42se1",1.53981131795728,4.6688705767385,16.9682601605304,1.73696987438781e-20,6.24030551955409e-18,36.5194155257932
"Tmem221",1.54316144869273,-1.18467152741743,4.89962783679273,1.45283609130747e-05,3.92444769985906e-05,2.97418826907576
"Ccdc8",1.54336966137694,-0.501893560102774,5.28262561966727,4.15994282220831e-06,1.19676790721687e-05,4.10947638232073
"Ect2",1.54344690706118,1.32358351340165,4.50963334213433,5.08384552331114e-05,0.000128258882426109,1.25939585678556
"3300005D01Rik",1.54359893274499,-3.89413123328207,2.77316247515766,0.00822383685788454,0.0144948206597778,-2.89981959015901
"Zfp105",1.54361914161919,-0.94823319803498,4.66219611991019,3.1239331509202e-05,8.08633831830809e-05,2.17749093352689
"Tnfrsf21",1.54401803219174,2.47206506229935,10.7934065427501,9.99249132032494e-14,3.04447318000996e-12,21.034989712481
"Foxc1",1.5451483323855,-1.36109760914441,4.2150734903057,0.000128476229452503,0.00030494536862249,0.90948948466699
"Skap1",1.54606368775668,-2.19295174662424,3.55933761042003,0.000933869033248153,0.00193560819575561,-0.913716967849489
"Slc27a3",1.54623832416042,0.114093625840483,5.49365135437438,2.07575264207207e-06,6.19159289581161e-06,4.74423118710205
"Fam110c",1.54667904426433,0.992457431797605,6.3935825214845,1.04690119777541e-07,7.36876007696775e-07,7.41097276694685
"Ly6g6d",1.54737703923852,-2.38064964596695,3.9196959956211,0.000318840674427224,0.000714065084450996,0.100139192091181
"Slc44a2",1.54749959938868,3.51288193043804,9.7029965727475,2.54320818892319e-12,5.37460508356832e-11,17.7472890833381
"Sox9",1.54817657894782,3.68200800594315,5.74960572373021,8.89769715044829e-07,2.76830324982735e-06,4.9936139743322
"Camp",1.54858264481374,-4.41926935902455,2.29480648508741,0.026771940862814,0.0421080988871707,-3.97710926334955
"Nlgn2",1.54923715436458,2.29801502119511,8.15153919723473,3.26749417802804e-10,4.00301303753511e-09,13.059642127433
"E030011O05Rik",1.5493112439447,-4.7120865984004,2.46181323329547,0.0179810127083796,0.0295048753950556,-3.62055655180099
"AU022793",1.54970007793354,-4.39735498828964,2.63575662983372,0.0116871623498103,0.0199519422190168,-3.26167468774303
"Sla",1.55111077803631,1.20946994768694,7.23161073634474,6.52922430376947e-09,5.87652905586655e-08,10.1919261830091
"Atp8b3",1.55112644480497,-5.52659374712523,3.9614206957725,0.000280818622960399,0.000633740649111554,0.172796623473467
"Fem1b",1.55116057870622,4.14545666992084,14.9563618195728,1.71331420177029e-18,2.87781158812935e-16,31.9049527714667
"Snora81",1.55201527777354,-3.86813163020743,2.64063217245136,0.011544221684523,0.0197339665816518,-3.19652583346819
"Ighv1-18",1.55367484782056,-4.0013861092376,2.38178982118743,0.0218019609725743,0.0350410913680614,-3.75653862626982
"Cyth4",1.55411019742934,2.63352411194095,7.04585568994154,1.20444232818379e-08,1.01848021259006e-07,9.40128581025485
"Nipal1",1.55493493478735,2.79266907288131,3.3330308321446,0.00179286286201274,0.00354529345246415,-2.35971007360595
"Zfp251",1.55495434776539,0.928742193350744,8.38910570732929,1.52666029146956e-10,2.02305951636492e-09,13.8922998405233
"Lgi4",1.5551195627643,-1.44202839114417,3.1409984641986,0.00307000647605414,0.00582625513691068,-2.06424172314374
"Hoxc6",1.55518536063533,-3.51545337184095,2.72834463737692,0.00923238272161742,0.0161360840445999,-3.00325615180778
"Slc38a1",1.55559156877803,0.535569092717114,6.98853474117848,1.45551283450959e-08,1.2063361259295e-07,9.48633994548613
"Sgk1",1.5563926376463,4.68478125422892,6.19698438081629,2.01281529904702e-07,1.26722812810372e-06,6.32723630466143
"Ptpdc1",1.55640663160723,0.771962395261631,8.59488502107711,7.93509558190514e-11,1.12964841726549e-09,14.5810736667912
"Gpr173",1.55644463751435,-4.00029800319142,2.66477751564579,0.0108597235760687,0.0186687359435216,-3.13558363408517
"Ifi27l2b",1.5571798039129,3.87669220728334,5.78885902191854,7.81150740667658e-07,2.44773182420961e-06,5.18119947365399
"Gm17767",1.55733453698143,-0.664279681601077,5.46116024921369,2.31076591313634e-06,6.84680204754843e-06,4.6524419174756
"Oas3",1.55767706840611,0.387030988005716,5.15176155474489,6.38942165171128e-06,1.8013642492078e-05,3.51850800718576
"Far1",1.55771349926828,1.1646761225367,8.3543995829047,1.70555187192206e-10,2.24103131218435e-09,13.7676214263765
"Hpcal4",1.55794749366554,-4.88043934226546,3.40711756264178,0.00145119421540569,0.00291829594728283,-1.35924866423099
"Krt78",1.5593912398619,-5.31342025803621,3.12687818012952,0.00319193115812995,0.0060377099281424,-2.06434586477019
"Prrx2",1.55999961652816,-4.45551791572278,2.50055278892862,0.0163588674629488,0.0270715133173883,-3.56061268376504
"Efcab9",1.56035478803843,-4.6747654863548,2.85245916825927,0.00668553372421491,0.0119711131693387,-2.73672829710716
"9130230L23Rik",1.56104107148226,-3.83991793776696,2.31769199201256,0.0253744777573208,0.0401051946809616,-3.86707988099652
"Ly6g6e",1.56130549237461,-3.04539791492045,2.80983715042281,0.00747554777167109,0.0132654177272289,-2.80807056354349
"Ubtd2",1.56162604780369,1.36042506095657,10.5142288011774,2.25556411743545e-13,6.2002844873223e-12,20.3473960900824
"Sbk3",1.56194602655127,-5.07472434705188,3.17562712706893,0.00278935168823468,0.00533551431779682,-1.94768717095044
"Inpp5d",1.56235281288724,2.37444994120439,8.83829309534643,3.6812268500273e-11,5.71219525672802e-10,15.1612470351734
"Cdc7",1.56284289152146,-1.79815328049859,3.1658223762878,0.002866252035439,0.00547168571222883,-1.97948765145601
"Fbln2",1.56311903382706,1.83552516026105,5.89314961923433,5.52577571150224e-07,1.75660858214856e-06,5.79637241191705
"Fbxw17",1.56359238931656,0.027505807595943,5.55112228381404,1.71675718185124e-06,5.17749306551779e-06,4.90170430532823
"E530011L22Rik",1.56372180848437,-1.79644232338221,3.46693672380112,0.00122160413987344,0.00248734526811289,-1.1605277148893
"Bpifb4",1.56396516706817,-5.52482522842551,5.06396506344853,8.51264909209025e-06,2.36516320155852e-05,3.48305481283959
"Hspbap1",1.56468393256645,1.71998108558293,9.81080981405498,1.8342596037272e-12,4.00057277989979e-11,18.2263423614112
"Nckap1l",1.56473138787215,2.69419534427939,7.62040717138423,1.82595535509752e-09,1.87801141830249e-08,11.2223696416101
"Wtip",1.56518911938721,1.58608764620961,6.58806600531214,5.48623846886708e-08,4.05348558909411e-07,8.13641074153579
"Hpse",1.56530418322609,2.14559541757545,10.4757256549221,2.5255940067881e-13,6.80516043474872e-12,20.1563337283301
"Gpr141b",1.5658704910089,-2.90674592079257,2.82370680133638,0.0072094175896319,0.0128354329128645,-2.76303819279183
"Ntn1",1.56617831541181,3.58808571064728,7.65232304241652,1.64544944073227e-09,1.71003779362883e-08,11.2191447353359
"Igfbp7",1.56735044855362,6.73919894075507,9.86118917028904,1.57529178293389e-12,3.5006935179683e-11,18.0681692905248
"Lpcat1",1.56771941445002,-0.315809835175495,6.24368095068433,1.72331586961234e-07,1.16693747642048e-06,7.10513131669656
"Chst9",1.56815032359676,-3.25473233925682,2.69013978294938,0.0101811111844864,0.0176594114537055,-3.06672617866671
"Rassf2",1.56836483082624,1.32747256165669,6.27139792297706,1.57158072194687e-07,1.07204848456223e-06,7.06977833017983
"2700099C18Rik",1.56879107660149,-1.42321381399358,3.08310360781863,0.0035995904055916,0.00674910155272818,-2.16385782383208
"9330102E08Rik",1.56892780009224,-1.29560740408384,4.30451254455084,9.71484578505168e-05,0.000236311750913985,1.13321876833117
"Lrrc24",1.56911049988432,-1.74955363574736,5.15138467238297,6.39730733050949e-06,1.80339089710428e-05,3.74644100947434
"Cklf",1.56929764571524,-0.476393797559104,4.3067146295813,9.64799897326317e-05,0.000234796113878444,1.13031518412654
"Timp3",1.57161282317639,5.41919373594059,10.5944608556044,1.78316546191813e-13,5.04099901676898e-12,20.2734471307483
"Tg",1.57162865067237,-5.30261222836711,3.26977386593276,0.0021439358838886,0.0041841851145727,-1.70572176728218
"Mdfi",1.57164344199677,-0.0659206856020617,4.85065344928645,1.70254748909106e-05,4.5660752618267e-05,2.76629632049952
"Ptgdr2",1.57183871119876,-5.39195402315293,4.06723685029746,0.000203064598562074,0.000468027441059,0.489096559378937
"AV051173",1.57217969345314,-2.31682735044624,4.11224223134625,0.000176751420819499,0.000410968899086559,0.607084691782356
"Acot9",1.57239964152785,2.32518944271548,7.19993749130612,7.24671459709018e-09,6.47051316820614e-08,9.92669346168513
"Slc7a8",1.57295075569296,2.1543815491099,7.66171443060136,1.59584033938883e-09,1.66584350520464e-08,11.415014035182
"Gm17501",1.57314221396678,-2.81388964361339,2.8927484938501,0.00601086013840479,0.0108486547027712,-2.59111302747527
"Snora73a",1.57371495758787,-2.14746677057223,3.31743861616396,0.00187393439674656,0.00369093588979238,-1.56662754050848
"Slc39a6",1.57408918089837,1.87350082721269,8.77338670131969,4.514988072417e-11,6.85785064411101e-10,14.9659984855657
"Entpd3",1.57520381103386,-4.57823787130725,2.64745182576845,0.0113469779505718,0.0194288924768281,-3.20287467611344
"Igf1r",1.57619257756543,2.13905095327035,8.17222361625043,3.05733688764514e-10,3.78574118107788e-09,13.1266954185676
"Rbms3",1.5772090962749,2.71301467986127,7.14896701626138,8.57164275847637e-09,7.49823074851228e-08,9.75160460946852
"Cdcp1",1.57730746762728,1.22896797828845,7.88512487800143,7.72093034420662e-10,8.69848890303104e-09,12.1771089044532
"Atp6v0d2",1.57744365753642,0.937133644081294,3.98492393714997,0.000261377555554202,0.000592762864239922,-0.116952605264276
"Alox5",1.57782076254425,-3.58973592304834,2.26807511706494,0.028491084927186,0.0445519824574731,-3.99029410699966
"Tlr4",1.57783751511503,0.278410960718794,9.02508403345163,2.05116832946712e-11,3.39522817123622e-10,15.9229974572968
"Lmcd1",1.57796599095303,0.43546707875852,3.82800869096317,0.00042071702890808,0.000921569082393136,-0.39128424078423
"Niban3",1.57880428778625,-0.879743592656572,5.00925692658991,1.01744886773102e-05,2.80161271679777e-05,3.27762402267853
"Ighv1-26",1.57900278182996,-3.49380556670952,2.38487751629449,0.0216419049766422,0.0348076326575145,-3.73242000344971
"Mvb12b",1.5798488724212,1.73190134633644,9.78550474175637,1.9802247390849e-12,4.28998939077966e-11,18.1810943869085
"Epb42",1.58004046514431,-4.93683213970631,2.81755231826133,0.00732640412671428,0.0130168346415082,-2.84103271931196
"Rem1",1.58042753098529,-0.127908780396056,3.78059007756881,0.000485107709471623,0.00105244327106454,-0.363449358008008
"Kcnj10",1.58117885696622,0.336683022724569,6.54915005621981,6.24310444269081e-08,4.57739179759306e-07,8.05058426992562
"Clec4a2",1.5814475450573,0.372111405839951,4.78318335291734,2.11713486930528e-05,5.60933398180065e-05,2.4449132668498
"Tbc1d19",1.58230200558306,1.2449081728308,9.17192314589972,1.29890672081952e-11,2.27788611169074e-10,16.3605126610812
"Fcmr",1.58261670526674,-0.566671888318558,4.10668829573635,0.000179809640869221,0.000417741690350651,0.58374478276052
"Soat1",1.58270058653827,1.58622978311469,7.76606835407141,1.13624793682665e-09,1.23136793847645e-08,11.8497743833705
"Gng2",1.58316370431648,0.995385392588782,6.950099153629,1.6527035259242e-08,1.35200765670719e-07,9.34376140353206
"Rgs1",1.58354309694333,0.578785026091671,3.55382607290842,0.000949031226462061,0.00196530227643056,-1.16724198707712
"Osbpl7",1.58395648636684,1.165296474351,8.1756042420667,3.02431014561125e-10,3.7502315693445e-09,13.2751050323566
"Cd48",1.58411808750835,0.882281312194281,6.25373380198443,1.66665876945183e-07,1.13183151455527e-06,7.09424884067726
"Lta",1.5843462820659,-4.20709010369216,2.75304007703041,0.00866332622059606,0.015207265156634,-2.96133131623829
"Tm4sf19",1.58490027996822,-5.42056287194008,3.86606059829212,0.000375098671891519,0.000830993263602084,-0.0857999407011238
"Ccsap",1.58526556810599,-1.48615774814131,4.7205735022199,2.59005383006565e-05,6.773523650016e-05,2.42296464524811
"Evi2a",1.58565514299231,0.450786381719176,5.19352213774051,5.5727174352814e-06,1.58162696838297e-05,3.75693607477956
"Plekha2",1.5856730796461,2.65542005903132,10.3909642610144,3.24163671079381e-13,8.43575621711303e-12,19.8904583940834
"Slc22a14",1.58577356309743,-5.02580621143335,2.64193302009598,0.0115063559921475,0.0196744388186726,-3.24664784986893
"Bglap",1.58578221800168,-4.21152966807199,2.42863041663562,0.0194850345127193,0.0316614980677498,-3.6981747701111
"Ighv1-83",1.58587076546397,-4.81035575781632,2.92208969411458,0.00556009142525789,0.0101034692586685,-2.59115714049087
"Fam25c",1.58665752553073,4.17669379500395,4.50898752551948,5.0942897106003e-05,0.000128484781536757,0.927761555854381
"Icam1",1.58729190472866,3.97501368177149,9.49169084713994,4.84576965160557e-12,9.43866894413262e-11,17.0179746497713
"Trim47",1.58770080389751,3.03972639172465,8.283275758224,2.14117469779059e-10,2.74186959939353e-09,13.3567387303198
"Elf5",1.58831066828022,-3.53285026885485,3.3088937473752,0.00191983022100979,0.00377445003142813,-1.55505795727262
"Lamc1",1.58840916101638,4.53326250351944,11.7539501912379,6.55620850322041e-15,2.91390799575262e-13,23.6024566908466
"Snora2b",1.58863263430712,-4.69926568976945,2.50555123760165,0.0161595568669323,0.0267656564946493,-3.49222508263992
"Pcdhgb5",1.58871215639835,-3.53181087028791,2.87679107656446,0.00627010615209316,0.0112756420909478,-2.64863684291742
"Ska3",1.59110557513288,-1.4493502034469,3.28017357660963,0.00208204827024667,0.00407446985977233,-1.69747848811274
"Adrb2",1.59118564027977,0.363896652877614,4.40497967496281,7.08204248519298e-05,0.000175554569204108,1.27777135380724
"Nek5",1.59168205632629,-1.65111115607892,4.50652028680881,5.1343842028024e-05,0.000129470770300146,1.78173145602922
"Tgfbr2",1.59284361344528,5.04528550456133,9.63503687474534,3.12727449609117e-12,6.42009598336431e-11,17.3809083434216
"Nes",1.59305375182331,2.11925771472322,6.22128671688392,1.8565496720239e-07,1.25191267899484e-06,6.75019132768834
"Tox2",1.59335672068771,-1.65052608485974,3.4865866716932,0.00115408107076738,0.00235839904072838,-1.14573465292079
"Abcd2",1.59358745455934,4.17754384408748,4.46396945233243,5.87660375720469e-05,0.00014702593034879,0.800535639143286
"Tmem229a",1.5941609265982,1.17827943627067,5.17952056234681,5.83431209115396e-06,1.65315095697097e-05,3.5581029703952
"Ankrd42",1.59417423489037,-0.260979361470281,6.57689847540172,5.69349781046462e-08,4.20061916324268e-07,8.219144800865
"Dgkg",1.59646860075532,-2.60619020189269,3.48454626720966,0.00116092279489725,0.00237163085891701,-1.11848143518362
"Adamts1",1.5965655532383,3.52457109397536,8.66868971262825,6.28216880289875e-11,9.18083957201027e-10,14.4459257000672
"Capn5",1.59674898121163,1.74876783026755,9.65010949903705,2.98697379882464e-12,6.1663249205265e-11,17.7262778411967
"Lrrk2",1.59684691574423,0.709490754228099,8.22437878149324,2.58598694389221e-10,3.25503945013405e-09,13.4077715790642
"Il36g",1.59699589634957,-3.69832808212553,2.32763267731108,0.0247880986880041,0.0392743935294992,-3.8711454602637
"Ccnd2",1.59814204068453,3.17517565954073,9.95306247365888,1.1944776142651e-12,2.70793623559995e-11,18.4951856520214
"Map1a",1.59874219818991,-0.460058442161521,4.47630831597324,5.65117135099017e-05,0.000141742314880309,1.60928208733235
