"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Spdya",4.88014424359445,-0.527351064795627,0.471739091468367,0.130358652937943,0.189680603028738
"Trmt61b",43.6828050284529,0.535048691045952,0.171996003957636,0.000913012473509252,0.00212649406584895
"Wdr43",611.890038973303,0.74091048980288,0.114220588889138,2.42031729595343e-11,1.40902208858793e-10
"Snord92",0,0,1.22323900198836,NA,NA
"Snord53",1.54333983126776,-0.0245392350115961,0.586727878910619,0.948241788611102,0.96242240406078
"Togaram2",0.296606953807445,0.0201218247844455,1.0722636209058,0.944887515055746,NA
"Pcare",0.0132860924838286,-0.00775791890340893,1.13764070377828,0.971835463264106,NA
"Clip4",23.051005701527,0.477383982982024,0.402563722833496,0.128848156609367,0.187674550162879
"Alk",0.122328519577483,0.0165862619525273,1.09490844588545,0.95099268366087,NA
"Ypel5",1007.61871177975,-0.438798870666576,0.0971019734075883,3.87663542792297e-06,1.28598121284407e-05
"Lbh",708.08268062194,2.1829613080293,0.161216312364583,6.05629144025865e-43,3.91901348548485e-41
"Lclat1",980.178791521269,-0.727223759005826,0.108767763914618,6.56091535150165e-12,4.04877827309907e-11
"Capn13",0.196539649800503,0,1.13758884095906,1,NA
"Galnt14",1.76440591825869,-0.0920965939942812,0.597039822328498,0.80906129645004,0.859546349793392
"Ehd3",1383.84250318712,0.00659831834174379,0.186452662465644,0.969796844148354,0.979001265185927
"Xdh",3730.34257890381,-0.758678785901277,0.1350629116131,5.13267365392618e-09,2.36470976632342e-08
"Srd5a2",30.3179246231932,0.0972598765726404,0.274726953040882,0.68456443166121,0.758137390745857
"Memo1",724.90776469322,-0.304950447883994,0.0853022615122673,0.000280585982251161,0.000708818560404345
"Dpy30",433.692216118996,-0.200627739493156,0.114679871160447,0.0721686723138613,0.113077664182227
"Gm9349",619.335251573008,-0.226806196216818,0.144743313614108,0.10179051894421,0.153057940697147
"Spast",760.445074148272,-0.337364191678873,0.0805873295324974,2.1616506472071e-05,6.48705505559621e-05
"Slc30a6",265.131336174899,0.15285025764054,0.0767188887080488,0.0437048962818894,0.0725032731703951
"Nlrc4",11.6057704198208,1.40982659126786,0.354636678657317,7.84335266005092e-06,2.5052973365475e-05
"Yipf4",717.127066853695,-0.348388046357469,0.0655467665149819,8.0064192402057e-08,3.23525766110233e-07
"Birc6",1829.72487026401,-0.288515368745468,0.160064298799178,0.0572788146197456,0.0921394653496196
"Ttc27",276.588081401511,0.185072621736816,0.0923258583702168,0.0412868445642512,0.0688746739093742
"Ltbp1",190.120934292042,2.18257683320107,0.243985389477299,2.45465549851037e-20,3.26352796773932e-19
"Rasgrp3",178.236956727636,0.865448477775927,0.182212385417308,4.23353945986499e-07,1.57045730173825e-06
"Fam98a",695.337364625953,-0.351677167391816,0.0759015187878813,2.68085537336048e-06,9.06368110975198e-06
"Gm4710",0,0,1.22323900198836,NA,NA
"Crim1",496.678621490017,0.246703826174085,0.14379053265802,0.073281493721479,0.114574689896377
"Fez2",846.776501208512,-0.0908147585933583,0.0901138883899209,0.305533345454337,0.39379522420248
"Vit",1.10890882097281,-0.330909323362212,1.01618796814951,0.386169870740919,0.478401887529432
"Strn",142.552542143959,0.135424942802139,0.321474073192527,0.61412365091109,0.696762285888397
