Approved symbol,DMSO_1,DMSO_2,DMSO_3,MG132_1,MG132_2,MG132_3,BRD1732_1,BRD1732_2,BRD1732_3,BRD1732_1um
GTF2F1,7.99754,8.53822,7.97272,10.3321,10.3389,10.8226,11.5032,11.8658,12.1236,8.50537
SUPT20H,9.1205,9.35781,9.24894,9.89636,9.52918,9.62183,10.6997,10.8663,11.1697,10.4897
SLC12A9,10.7677,11.1596,10.9764,8.66389,9.03328,8.83379,9.75038,9.72824,10.4198,10.6669
PPOX,10.0634,10.7447,10.2197,8.80421,9.35039,9.13505,9.90534,10.2133,10.6338,10.9301
NDUFV2,12.4439,12.1043,12.9986,7.79317,8.1743,7.8938,8.78287,9.36669,8.73834,11.7041
ZWINT,7.21881,8.14381,7.81701,10.7452,10.7486,10.6347,12.0664,12.0118,12.1246,8.48904
MICOS10,10.6572,9.22911,11.1301,9.14798,10.247,9.06077,10.1107,10.8319,11.1205,8.46466
RDH11,9.8774,11.1489,10.2625,9.33065,8.89366,9.21396,9.82691,10.1861,10.9014,10.3586
TMED3,9.14634,10.5069,8.78779,9.37992,9.09516,9.67725,10.2199,9.36962,12.1242,11.693
POGLUT3,11.3073,11.2583,10.7646,8.84443,8.8516,8.5829,9.87821,9.74191,9.98294,10.7878
GCDH,10.3745,12.0687,11.1218,8.63364,8.61631,9.00023,9.39249,9.69686,10.478,10.6175
AP2S1,10.888,10.5318,11.0726,8.94112,8.73644,9.17047,9.9776,10.1215,10.1392,10.4213
NFU1,12.3973,12.0668,12.9072,8.1318,8.12395,7.85338,8.87938,8.59545,9.67334,11.3713
DCTN4,8.18071,8.59823,8.25223,10.2195,10.0427,10.823,11.6664,12.0542,11.2817,8.8812
ABCB7,10.1839,10.3131,9.88815,9.38272,9.14803,9.21689,10.5419,10.2271,10.4716,10.6266
IGF2BP2,12.2667,12.5714,11.8767,8.42751,7.98649,8.20135,9.08811,9.38273,9.24289,10.9561
EIF3L,10.2749,10.2376,10.3397,9.3562,9.45839,9.29936,10.6646,10.7261,10.2616,9.3816
ZSWIM8,10.4454,11.9783,10.6015,8.11684,9.36739,9.10897,9.94526,10.0455,9.94322,10.4476
FAM120C,12.6708,11.9574,11.9234,8.09379,8.5379,8.00996,8.95742,9.08628,9.68953,11.0736
MRPS5,9.38009,10.2261,10.0051,9.07556,9.60737,9.59955,10.215,11.1478,10.4667,10.2766
TENT2,9.63544,9.42972,10.3179,9.23426,9.3883,9.78355,9.8894,10.5328,11.5461,10.2425
TOR1B,8.71845,8.33821,8.78653,9.98968,10.3473,10.1201,11.6268,10.987,11.6607,9.42529
IQCB1,9.92692,10.1664,10.6073,9.16159,9.79827,9.39952,10.5961,10.3788,10.937,9.02808
DDX43,16.7735,15.1988,15.5191,6.6689,6.54669,5.52747,7.29792,6.76452,7.02601,12.6771
GSTK1,10.9039,11.2691,11.0423,8.78585,8.62002,8.67433,9.30656,9.84956,10.1869,11.3614
PC,11.2394,11.9772,10.9523,8.79487,8.80394,8.69645,9.47978,9.72515,10.3766,9.95433
TMLHE,10.3077,9.86404,10.4143,8.45141,9.43213,9.30351,9.37847,9.8555,11.3475,11.6454
TRIM41,10.1733,9.86934,9.4732,9.16584,9.17014,9.01344,9.53937,11.0151,10.2088,12.3715
IGHMBP2,8.69874,8.77244,8.6747,10.002,9.9641,9.9601,11.3673,11.0186,11.2704,10.2717
BAG4,11.541,8.84528,11.5076,9.01303,9.27947,8.9328,9.91996,10.1164,10.5788,10.2656
SNRPA,8.90963,6.97945,7.88078,10.5802,10.1085,10.2212,12.3107,11.4637,10.9792,10.5666
PGRMC2,10.0522,8.83089,9.91686,9.76615,10.1412,9.18082,11.8357,9.75941,11.1065,9.41026
WDR83,6.84995,6.50712,6.64133,11.213,10.5237,11.3731,11.8065,12.6945,12.7195,9.67125
TMED2,8.66472,8.27592,8.19116,9.8545,10.5115,10.3189,12.0394,10.7439,11.7085,9.69129
ASCC2,11.2235,11.6438,11.056,8.93912,8.59626,8.64047,9.49322,10.2092,9.72054,10.478
SEC63,8.53091,8.70496,8.65965,10.1222,10.1463,10.2084,11.3768,11.0446,11.8353,9.37084
GGH,10.6901,10.6983,10.8013,8.92168,9.4873,8.88161,9.71443,10.3327,10.6275,9.84496
EMC9,8.79796,8.89084,8.15325,10.4374,10.0703,10.1368,12.4882,11.6549,10.3007,9.06967
FUBP3,10.396,10.334,10.6743,8.90487,9.12714,9.26573,9.67064,10.2745,10.7164,10.6365
LUC7L3,7.66761,6.69475,6.99755,10.7782,10.7746,10.8858,12.3411,12.4736,11.6181,9.76865
ZNF669,6.31708,7.03313,6.30729,10.7951,11.7056,11.7072,14.2651,12.2928,11.8595,7.71727
UQCC6,13.8219,13.4042,14.6456,7.13583,6.8303,7.49128,7.22534,8.73872,8.1284,12.5785
RPS4X,10.9222,10.4299,11.0001,9.50205,8.95355,9.25616,10.5107,10.3593,10.2389,8.82716
ERLEC1,9.29928,9.14829,9.21252,9.93729,9.92791,9.81364,11.3019,10.5898,11.4108,9.35853
URGCP,10.3274,10.9382,10.2425,8.71747,9.35008,9.02428,9.94528,10.3862,10.0679,11.0007
PXN,11.3897,8.41837,9.10469,8.16097,8.54315,11.3989,9.98398,11.8586,9.6895,11.4521
ST7L,8.25657,8.89045,8.68403,10.087,10.2303,10.3558,10.8316,11.0901,12.4897,9.08438
GEMIN5,11.2026,11.3073,11.3114,8.79562,8.65257,8.86536,9.89205,10.1034,9.51224,10.3575
PAM16,11.5909,11.3508,12.037,7.88931,8.38969,8.547,8.25657,10.027,9.55353,12.3582
ZBTB7A,9.6508,7.69263,9.38623,10.6169,9.16254,8.52429,11.5746,10.0538,10.0973,13.2409
ABCB10,10.1058,9.96686,10.0404,9.09955,9.68199,9.17509,9.75458,10.1481,11.4334,10.5943
ME2,9.96304,9.7401,9.97499,9.46459,9.4149,9.512,10.294,10.6029,10.9247,10.1087
PRDM10,8.17034,8.74174,8.48948,9.30126,10.0944,10.5462,9.94854,11.3228,12.2811,11.1042
ATP5F1E,10.245,9.28289,9.74999,7.93884,10.3512,9.97908,11.1265,9.30274,11.2447,10.7791
PAN3,9.03852,10.283,10.7292,9.22435,8.92527,9.72724,11.3029,9.08944,10.842,10.8381
EGLN1,10.7304,11.1624,11.2262,8.98252,8.88581,9.26137,10.1865,10.4316,9.77727,9.35591
ZDHHC17,11.6745,11.9112,11.5772,8.14564,8.85602,8.28452,9.64748,8.29426,10.3868,11.2224
PHF10,9.05181,8.48433,8.59933,10.0463,9.8391,9.67239,11.4662,10.8174,10.8217,11.2015
ABHD11,10.2353,10.4397,9.84246,8.98196,9.07136,9.17319,9.62899,10.0063,10.8586,11.7622
UQCRQ,9.20114,9.82254,9.33361,8.95703,10.4259,9.66373,10.4089,10.5332,11.5843,10.0696
TMA16,9.46134,10.2266,9.88838,9.47817,9.07877,9.49238,10.408,10.2906,10.7105,10.9653
USP11,5.54295,5.596,5.42879,12.0703,11.5551,12.3902,13.9875,12.898,13.4427,7.08857
ZC3HC1,11.7015,11.7396,11.8977,8.46235,8.3192,8.28203,9.39738,9.11091,9.5549,11.5344
WDR70,10.1473,10.6744,10.3499,9.09851,9.37095,9.11109,10.4474,9.83334,10.5982,10.3689
COPB2,10.0381,9.15206,9.6676,9.91699,9.73217,9.75325,11.5703,10.7872,10.5607,8.82173
TELO2,11.7563,12.225,11.435,8.30609,8.17242,8.11801,9.00047,9.58054,8.95449,12.4518
GTF2F2,8.71193,8.78203,9.01534,9.77274,10.2314,10.4258,11.3092,11.4989,11.2543,8.99846
TSPAN3,8.64428,9.47674,9.59677,8.743,10.7259,10.2331,10.6033,10.7285,11.9157,9.33266
BUB3,8.82791,8.93116,9.4601,9.51192,10.2437,10.2752,10.2227,11.9554,11.4373,9.13451
ALAS1,5.5405,5.88379,6.0248,11.3116,11.2821,12.4463,11.9159,12.8334,14.472,8.28964
ATP5F1A,10.1724,9.75127,10.0772,9.2205,9.87738,9.15382,10.3434,10.7131,10.5649,10.1259
ALG11,9.12313,9.84601,9.33601,9.64644,9.51667,9.69673,10.0661,11.0944,11.1412,10.5334
NUMB,9.44351,9.61625,9.36238,9.7038,9.31342,10.0443,10.8245,10.6083,11.0913,9.99222
INTS4,9.94684,10.3396,10.0317,9.13122,9.56261,9.20332,10.5736,9.90959,10.7345,10.567
ECHS1,10.2285,10.3106,10.0861,9.03487,9.44803,9.13718,10.0079,9.90957,10.9795,10.8576
UFL1,10.0564,9.96564,10.398,9.21941,9.15387,9.34979,10.0078,10.1961,10.8028,10.8503
ACAD10,10.7402,11.1205,10.9746,8.74747,8.94266,8.79254,9.28502,9.68162,10.651,11.0643
TRMT1L,10.9811,9.9749,10.521,8.99686,9.02482,8.8662,10.0442,9.83346,10.188,11.5695
COLGALT2,10.866,10.4918,11.3124,8.74483,10.2231,8.62251,10.8692,9.47084,10.5105,8.88881
TM9SF1,9.56382,10.0474,10.2771,9.39186,9.44595,9.80729,10.1534,10.7326,11.1435,9.43707
GTPBP3,8.98088,10.048,9.00002,9.52555,9.59425,9.86175,10.2003,10.7822,11.4214,10.5856
EFNB1,10.0184,9.63482,10.2315,9.26311,9.87339,9.31977,10.3002,10.1559,11.3604,9.84244
UQCR10,10.1635,9.94074,10.7786,8.8853,10.4048,8.74097,10.0098,10.1728,11.1574,9.74605
FBXO21,9.22455,8.88038,9.49075,9.31394,10.1183,10.6655,10.1367,10.8551,12.6507,8.66409
ABHD6,8.88813,8.46391,8.27735,8.92169,12.2162,9.76987,10.3466,11.6449,12.555,8.91627
HNRNPH3,8.95945,6.2407,7.61481,10.7685,10.5974,10.0467,12.3573,10.8834,11.8688,10.6629
USP19,8.27374,8.35884,8.02497,10.5839,9.89534,10.6644,12.0199,11.6746,11.1139,9.39037
CAAP1,9.10816,9.63315,9.22051,9.46319,9.50063,9.86075,10.0403,10.9583,11.2164,10.9986
SPINT1,6.82022,8.21201,6.88155,10.8777,11.315,10.3409,12.7263,11.8294,11.799,9.19795
GTF2E2,9.72178,10.0518,9.77241,9.75549,9.28035,9.85314,10.4939,11.0416,10.7427,9.28683
WDR18,9.75971,9.93196,9.65324,9.15367,9.52635,9.46916,10.6263,10.4714,10.3525,11.0557
NUCB1,9.88159,9.63306,10.0615,9.28382,9.68312,9.61896,10.322,10.2177,11.3981,9.90015
DAD1,8.31344,9.21331,8.77622,9.43544,10.3309,10.252,10.5909,11.7074,11.237,10.1434
ATP5F1D,10.4545,11.1942,10.566,9.2373,8.94934,8.97292,9.54583,10.0825,10.713,10.2845
TRAPPC5,10.9084,11.8286,10.8808,8.50024,8.45614,9.29382,9.39799,10.13,9.79479,10.8093
SMARCAL1,10.5924,10.6062,10.4955,8.85265,8.65565,9.12483,9.65323,9.8305,10.2642,11.9249
SF3B6,8.06024,8.10136,7.71891,11.0383,10.0546,10.7009,12.3432,11.614,11.5542,8.81416
MTERF1,10.447,13.1213,10.2823,8.26855,7.65285,9.08256,8.42478,9.88475,9.61459,13.2214
MRPS18B,10.1522,10.3325,10.4923,9.21979,9.39019,8.97213,10.1334,10.5868,10.0827,10.638
LYRM1,8.93328,9.01468,9.10424,9.43495,10.1237,10.5065,10.8482,10.977,11.7502,9.30722
HAUS4,11.736,12.4223,12.0837,8.22645,8.56808,8.60743,9.1231,10.0058,9.23836,9.9888
